(-7.174430094663563e-16+0j) (-4.605647173308563e-16+0j) 0j 0j 0j 0j 0j 0j 0j (1.860313735927082e-17-2.2086565058881367e-16j) (1.860313735927082e-17+2.2086565058881367e-16j) (1.4897390730461458e-16+0j) (2.6068134421819327e-16+0j) (0.0527878480207294+0j) (0.149903485027217+0j) (0.16568637304080344+0j) (0.17512030215129523+0j) (0.23446005257727093+0j) (0.25429352532994126+0j) (0.26990153534874883+0j) (0.36310173737435014+0j) (0.3955227173187536+0j) (0.42393425130454926+0j) (0.4586557840122808+0j) (0.4753769971721349+0j) (0.5277524023885011+0j) (0.6025960749795625+0j) (0.6241060502511371+0j) (0.7033320837144925+0j) (0.7077255534088958+0j) (0.7866860088343123+0j) (0.8081795702070017+0j) (0.8802195789596806+0j) (0.9999999999999991+0j) (0.9999999999999993+0j) (0.9999999999999996+0j) (1.0000000000000002+0j) (1.0000000000000013+0j) (1.0000000000000018+0j) (1.0000000000000024+0j) (1.0000000000000075+0j) (1.0432223291666594+0j) (1.2321868554508493+0j) (1.2516891565797512+0j) (1.3559961843189499+0j) (1.362581573443122+0j) (1.433234889491317+0j) (1.5533865035858883+0j) (1.5818249352886353+0j) (1.6646233165415523+0j) (1.7483685558223083+0j) (1.8063276381931486+0j) (1.8712315704904576+0j) (1.9341801139300951+0j) (1.938487237789086+0j) (2.000000000000002+0j) (2.000000000000005+0j) (2.1986200422270894+0j) (2.3986556821732585+0j) (2.5314631632548483+0j) (2.551673954425726+0j) (2.5648521430971285+0j) (2.636717074211396+0j) (2.7248388764095384+0j) (2.7542771777761157+0j) (2.967333353140511+0j) (2.9999999999999973+0j) (3.0000000000000018+0j) (3.0000000000000018+0j) (3.000000000000003+0j) (3.0000000000000053+0j) (3.000000000000008+0j) (3.0294592482660287+0j) (3.5078840436504266+0j) (3.7027161633119507+0j) (3.856118274779794+0j) (3.9999999999999942+0j) (4.0000000000000036+0j) (4.000000000000004+0j) (4.000000000000007+0j) (4.000000000000008+0j) (4.000000000000015+0j) (4.154252862957899+0j) (4.514346342358007+0j) (4.809047870345996+0j) (4.814174712663597+0j) (4.832945182884383+0j) (4.9835749163085925+0j) (4.999999999999989+0j) (5.000000000000003+0j) (5.000000000000009+0j) (5.272251264416621+0j) (5.338608205541139+0j) (5.4530328887707356+0j) (5.83536122150673+0j) (5.8489506368840996+0j) (6.00000000000002+0j) (6.314862033915162+0j) (6.884880000597614+0j) (7.1755681519701335+0j) (7.424392087529204+0j) (7.943513407091596+0j) (8.618231782181342+0j) (9.092254565101873+0j) (9.438659952816497+0j) (9.863163346356634+0j) (9.875295578820094+0j) (10.140807356725531+0j) (11.121768997410388+0j) (11.340717363409219+0j) (11.506036984847778+0j) (12.614634770470825+0j) (13.527375527881302+0j) 
-1.155786433793438e-15 -3.0489321103466826e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.586463170751655e-16 1.0434566616607214e-15 0.03361450631492649 0.06384578876027694 0.09283668694355406 0.1046008073745395 0.1805868603042387 0.255253529786741 0.3280963501238925 0.361351779823498 0.42640807852809315 0.47233574274486667 0.5177515472064035 0.5866574271411784 0.6185793288236532 0.6214283195245333 0.6722338230223074 0.7178525447508922 0.8010681017842125 0.8152484372454338 0.8204085535373316 0.9380037017587344 0.9999999999999992 0.9999999999999996 1.0000000000000004 1.0000000000000024 1.058700471631878 1.125057224470263 1.2059825713029892 1.3289076699504234 1.3916423712889996 1.4291561309152085 1.4427980834572278 1.466813119835228 1.5128066796525372 1.7773681891763051 1.8114689344472727 1.9999999999999936 1.9999999999999991 2.003673949235716 2.1120336838853517 2.342484639288996 2.3708928068297306 2.4210015938592178 2.5155683315348276 2.545238946628055 2.5736250011470223 2.9999999999999964 2.9999999999999996 2.9999999999999996 2.9999999999999996 3.0 3.0000000000000027 3.000000000000004 3.000000000000006 3.000000000000008 3.126718389263065 3.3337515519449 3.385477720650765 3.532997772816573 3.9588278640330214 3.999999999999999 4.0 4.000000000000017 4.083366706782422 4.1128954261509305 4.186558081913953 4.378563267713877 4.56167694755441 4.907480630893353 4.980831731206298 5.000000000000009 5.000000000000015 5.243131594913623 5.268202859672041 5.285668895781251 5.375134176515382 5.498469975805512 5.892079324315651 5.955484683409718 6.0000000000000115 6.252268743415777 6.41198156696667 6.5918835833755605 6.9598814838953835 6.999999999999984 7.000000000000001 7.000000000000021 7.000000000000022 7.028809748336104 7.465506989724996 7.797689214493844 8.59812737376056 8.94197303387742 9.024204143726227 9.550720021340501 9.996336586906244 10.348232304101176 12.13850995501839 14.404158578959738 16.55901675672832 
-8.215431856608907e-16 -4.440892098500626e-16 -7.999890225805293e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.1613149202523104e-16 3.404136661476231e-16 7.446266005675186e-16 0.046960609663761164 0.05353124026532383 0.1148879954262013 0.13296991568782968 0.155164890422402 0.1993020566601963 0.29353117544172697 0.35838469807409823 0.36829334401228847 0.39242620876323936 0.4663671923541491 0.5031612548046946 0.516430991884801 0.5344766624919138 0.6878260972550182 0.7303301734698014 0.744393017429561 0.808091023634936 0.810289968965865 0.9999999999999982 0.9999999999999989 0.9999999999999999 1.0 1.0000000000000007 1.0000000000000009 1.000000000000001 1.0000000000000024 1.1137159703913164 1.1360877940973042 1.1489848011735575 1.1731367511011264 1.4339955028460618 1.4739185441837472 1.53125449274396 1.6138914037012515 1.708212944390216 1.7662164259227153 1.783519920980721 1.842445517604889 1.9844719238682473 1.9999999999999991 2.2065468009206697 2.2715462335898056 2.4456910394303786 2.8660319960927483 2.999999999999998 2.9999999999999982 2.9999999999999996 3.0 3.0 3.0000000000000004 3.000000000000001 3.0000000000000013 3.0000000000000013 3.0000000000000013 3.000000000000002 3.000000000000003 3.0000000000000036 3.000000000000004 3.0000000000000053 3.0834972748631535 3.1858156560105453 3.4755642656496963 3.655984866112751 3.7752263067870815 3.978066511847472 3.9999999999999982 4.0 4.000000000000004 4.000000000000009 4.0000000000000115 4.089566088726493 4.125859894197482 4.197358151190968 4.23110370674873 4.761932950703985 4.777696697610956 4.788374858041714 4.836560624020498 4.927512846684298 5.000000000000001 5.000000000000003 5.154216013937722 5.283283345817481 5.345619393802249 5.973298806707038 6.083591405441615 6.19885125527567 6.782476264727237 7.480209042084305 7.735196930808361 7.9318743864859735 8.657676632149492 8.846610219761473 9.425861549861219 9.589948053795123 10.995963371274273 12.2370303044334 13.971685744695149 
(-8.383756794307217e-16+0j) (-2.933235762847572e-16+0j) (-3.599520148552366e-17-2.4712086962042267e-16j) (-3.599520148552366e-17+2.4712086962042267e-16j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (3.7984061646574183e-16+0j) (4.666488548768442e-16-1.1058300687904097e-16j) (4.666488548768442e-16+1.1058300687904097e-16j) (0.020510515980625386+0j) (0.03008915170206509+0j) (0.05689559966472393+0j) (0.17875997229957102+0j) (0.21573374877333015+0j) (0.22012941984691334+0j) (0.261584760728479+0j) (0.297131505268569+0j) (0.344598877063881+0j) (0.41884318449222413+0j) (0.4954833470623617+0j) (0.5800817770366999+0j) (0.6114518525288728+0j) (0.6475378856075541+0j) (0.7077463518224748+0j) (0.732283343987852+0j) (0.8517529958497022+0j) (0.865209855985527+0j) (0.9718732852324368+0j) (0.9999999999999999+0j) (1+0j) (1.0000000000000002+0j) (1.0000000000000004+0j) (1.000000000000001+0j) (1.000000000000002+0j) (1.0000000000000022+0j) (1.000000000000003+0j) (1.1263250340038844+0j) (1.1848837713226001+0j) (1.2438171143404915+0j) (1.3056724828932194+0j) (1.3925927469892145+0j) (1.487145405917149+0j) (1.5362595189521464+0j) (1.633450135907636+0j) (1.7764622178374014+0j) (1.7903413861129862+0j) (1.8087988775165869+0j) (1.9219404109093583+0j) (1.9664069524796994+0j) (2.000000000000001+0j) (2.000000000000001+0j) (2.0000000000000013+0j) (2.0000000000000027+0j) (2.000000000000006+0j) (2.164863668775248+0j) (2.172190963706117+0j) (2.5130384511574904+0j) (2.8385989095514668+0j) (2.9999999999999973+0j) (2.9999999999999996+0j) (2.9999999999999996+0j) (3.0000000000000053+0j) (3.0000000000000084+0j) (3.3890744689963386+0j) (3.730762381573947+0j) (3.7744514884833777+0j) (3.8387239281696233+0j) (3.8950106968558837+0j) (3.993088781255208+0j) (3.9999999999999947+0j) (3.9999999999999982+0j) (3.9999999999999982+0j) (4.000000000000003+0j) (4.0000000000000036+0j) (4.000000000000005+0j) (4.0000000000000115+0j) (4.231235956063649+0j) (4.289950197374513+0j) (4.633226706972131+0j) (4.8108189147494285+0j) (4.818251338145766+0j) (4.8506409221344+0j) (4.973204965383886+0j) (5.000000000000003+0j) (5.000000000000035+0j) (5.4023279126627015+0j) (5.7212542819881405+0j) (6.092682951177894+0j) (6.1868738024251355+0j) (6.390905269466335+0j) (6.759209219185237+0j) (7.0078633044383665+0j) (7.217605699602781+0j) (7.422334005485807+0j) (7.584489717822277+0j) (9.061176825835092+0j) (9.466517501199181+0j) (10.180615103620475+0j) (10.63093380581625+0j) (10.93452364307351+0j) (13.341760730736262+0j) 
-5.524091086317384e-16 -3.795500654441304e-16 -2.2595076073885868e-16 -1.618606707937403e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.680411137627655e-16 3.8530591232161103e-16 7.968103695303897e-16 0.024757770897690566 0.07336282625742559 0.09401516015677996 0.15167714600807367 0.19199508802462706 0.24151528317406343 0.28918798294780906 0.3030190799326101 0.363682951449724 0.3709071051367599 0.4546291059058402 0.5579341035303036 0.6395780222155979 0.6959080067106602 0.7535346762344743 0.7600714807641534 0.7968507965019734 0.8914149171202967 0.9651083774042724 0.9999999999999986 0.9999999999999994 0.9999999999999997 1.000000000000001 1.000000000000001 1.000000000000001 1.0000000000000013 1.0000000000000022 1.122205940668945 1.1924453466005398 1.2811520576817172 1.3795941655257917 1.4105811179007137 1.4497948717936855 1.483388638890967 1.7549299094486055 1.9821921876310598 2.0000000000000004 2.0000000000000013 2.000000000000002 2.423946069495041 2.429386057710867 2.686889474682661 2.811744384252338 3.0000000000000004 3.0000000000000018 3.0000000000000027 3.0000000000000036 3.0000000000000036 3.000000000000005 3.000000000000006 3.0000000000000107 3.1239615191767443 3.214256976463396 3.5560730302116244 3.779104404483933 3.790864418689999 3.824414870170588 3.9999999999999942 3.999999999999998 3.9999999999999982 3.9999999999999982 4.000000000000001 4.000000000000003 4.0000000000000036 4.000000000000006 4.00000000000001 4.2469956987015065 4.35799859613049 4.553166812435107 4.727989680001972 4.909686960577246 4.940807541845898 5.000000000000007 5.0000000000000115 5.116224659995938 5.208635112122034 5.771653318145374 5.84004492386118 5.84782107455694 5.955486245882221 6.0000000000000036 6.179322793940006 6.355963575167142 6.635093315754166 6.99999999999998 7.248794177868682 7.521387665153342 7.877173618367717 7.96625967922911 8.123745042762545 9.214473250145257 17.08520093550395 
(-5.672544172188655e-16-2.6220052931499646e-17j) (-5.672544172188655e-16+2.6220052931499646e-17j) (-2.8239434278082477e-16+0j) (-2.660393867375879e-16+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (1.7951020046915717e-16+0j) (8.881784197001252e-16+0j) (1.0026031423157126e-15+0j) (1.1087233319332707e-15+0j) (0.014061234941143261+0j) (0.037531596045754324+0j) (0.12705091822759226+0j) (0.14065400427207597+0j) (0.16499198608473978+0j) (0.2448783720453133+0j) (0.2955321857406854+0j) (0.33188949513779764+0j) (0.37306595662264996+0j) (0.4121212158865434+0j) (0.4358411840182003+0j) (0.5945238880769508+0j) (0.6606088438495256+0j) (0.6729380551642672+0j) (0.7222575283704683+0j) (0.7345104284629315+0j) (0.7552541862210831+0j) (0.7757908218916599+0j) (0.999999999999998+0j) (0.9999999999999981+0j) (0.9999999999999986+0j) (0.9999999999999998+0j) (1.0000000000000004+0j) (1.0000000000000004+0j) (1.0000000000000016+0j) (1.052713322043264+0j) (1.0915724586658924+0j) (1.1969236199669746+0j) (1.2265705407518186+0j) (1.4389201044141124+0j) (1.4910767091638744+0j) (1.5404067168886362+0j) (1.698551501654976+0j) (1.7914437304518576+0j) (1.990096783399833+0j) (1.9999999999999947+0j) (1.9999999999999998+0j) (2.0000000000000004+0j) (2.0000000000000036+0j) (2.0882093606377903+0j) (2.4318297010043244+0j) (2.57715928916119+0j) (2.999999999999997+0j) (2.999999999999999+0j) (3+0j) (3.0000000000000013+0j) (3.000000000000003+0j) (3.0000000000000044+0j) (3.0000000000000044+0j) (3.026036268266247+0j) (3.116883890677167+0j) (3.121017327803139+0j) (3.1658089863566063+0j) (3.2474269913700264+0j) (3.3089062418494666+0j) (3.70020025021852+0j) (3.71291458922261+0j) (3.853844887804305+0j) (3.999999999999995+0j) (3.9999999999999987+0j) (4+0j) (4.000000000000002+0j) (4.000000000000003+0j) (4.000000000000003+0j) (4.0000000000000036+0j) (4.0000000000000036+0j) (4.000000000000004+0j) (4.000000000000011+0j) (4.106342922102518+0j) (4.188351026007739+0j) (4.591656396961261+0j) (4.743048305522934+0j) (4.838614414881747+0j) (4.897055937129832+0j) (5.000000000000013+0j) (5.0156094275198155+0j) (5.096507214418294+0j) (5.122381571060307+0j) (5.444519001633192+0j) (5.769074432029983+0j) (5.905943435097207+0j) (5.9232289506453935+0j) (6.188923913327813+0j) (6.462672392375043+0j) (6.7164825404128585+0j) (7.023837637447393+0j) (7.37289324388369+0j) (7.571238764481469+0j) (7.58456703869637+0j) (7.876176879385116+0j) (8.223043570791521+0j) (8.59944084874775+0j) (8.757863330908927+0j) (9.390448710688936+0j) (12.228062921011096+0j) 
-3.0887078945930405e-15 -1.1237811235841427e-15 -6.718611509080338e-16 -4.440892098500626e-16 -4.905935868492999e-17 -3.831011608304124e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.24704557705852e-17 6.253028318001547e-16 7.45776936142801e-16 9.511805043869645e-16 0.03592087756769622 0.10905574845948658 0.147192351590893 0.2418444590588094 0.2690471180995062 0.40836573532510656 0.4233057545752457 0.43844718719117187 0.5857864376269051 0.5857864376269053 0.5857864376269057 0.5934147544391001 0.6639696048897157 0.6882396256382066 0.7148575181702131 0.7252342950031077 0.7462348648134977 0.8577910867927888 0.9999999999999994 1.0000000000000013 1.0000000000000016 1.0000000000000027 1.0000000000000038 1.000000000000004 1.038713659625405 1.2740818372504554 1.2772099668416297 1.4997258508317135 1.5389981857635944 1.572819851317579 1.6972059564840443 1.778123837736806 1.789701325528698 1.8196711775747219 2.0000000000000004 2.0000000000000004 2.0000000000000013 2.0000000000000027 2.3672821913520448 2.553970324490056 2.712130766710925 2.9999999999999982 2.999999999999999 2.9999999999999996 2.9999999999999996 3.0 3.0000000000000013 3.0000000000000053 3.0000000000000067 3.0000000000000075 3.000000000000011 3.000000000000017 3.1951651671675805 3.4142135623730914 3.414213562373097 3.4142135623731065 3.479630050422089 3.842502532420847 3.8589528393373724 3.860858684881196 3.9999999999999933 3.9999999999999947 3.999999999999995 3.999999999999996 3.9999999999999982 3.999999999999999 4.000000000000001 4.000000000000004 4.000000000000009 4.561552812808843 4.9999999999999885 4.999999999999995 5.000000000000005 5.000000000000007 5.000000000000016 5.043028200148852 5.184343885286455 5.249425848201033 5.507018644092952 5.87197609967758 6.276176232579703 6.6630877457156705 6.999999999999996 7.000000000000011 7.427452597600694 7.525540028493907 7.53803244070521 7.914190122381756 8.431814355449662 8.855247099074406 9.030818847370787 9.412915803574274 9.430239408238334 9.57304285397183 10.760809235188491 11.523622552088415 
-1.7909497804785614e-15 -6.308078065843414e-16 -4.890060507670605e-16 -1.6751348392006732e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.941417186119653e-17 4.585034094244104e-16 8.136578126976141e-16 0.04808009530959313 0.0888764499070432 0.127330709543021 0.17187520476046753 0.2527219371518621 0.2909622158012463 0.3118904488137488 0.39766322649021224 0.4001952284136195 0.45432074846277704 0.4592863994851921 0.46791111376204314 0.5617823771040176 0.5802557697094662 0.7373568589543328 0.7590546898870063 0.7609114744725197 0.7639320225002108 0.962943856756172 0.9999999999999987 0.9999999999999988 0.9999999999999993 0.9999999999999996 0.9999999999999999 1.0000000000000004 1.0000000000000024 1.0715131433956113 1.2353442631102274 1.2679491924311201 1.3142124937027913 1.3542486889354113 1.4411529048480556 1.4483697699184865 1.5127045646582509 1.6302044361043948 1.6527036446661445 1.8239946336426391 1.9999999999999962 2.000000000000005 2.1224487575923274 2.331476994944982 2.4110403741438633 2.4772713418448906 2.579716579931797 2.999999999999991 2.9999999999999956 2.999999999999999 3.0 3.0000000000000044 3.000000000000007 3.1798533438876215 3.565006214792885 3.5889727876811968 3.604323561451474 3.8263918099506844 3.842651260173652 3.879385241571822 3.9999999999999916 3.999999999999999 4.000000000000002 4.000000000000005 4.023083032967552 4.460526361445472 4.617267092220947 4.732050807568874 4.937027718350745 4.999999999999986 5.000000000000009 5.00000000000002 5.004643988705318 5.236067977499771 5.266131116954329 5.687716677431764 5.858751238370469 5.876991395635314 6.249848817431419 6.632307746085328 6.645751311064573 6.842218656171851 7.020545145705952 7.271431051099749 7.457889677710366 7.712210941590322 7.988064079922542 8.113267207628358 9.491331574668537 11.116589553105744 
-2.3304952259929656e-15 -4.19472336538662e-16 -5.891093640805137e-17 -1.6244019557748934e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0989087095155493e-16 0.010512569128003378 0.030951353462706173 0.11747765807800171 0.1484242198594305 0.1821462473177578 0.24168727977485888 0.2561451148989095 0.2952879400849179 0.3601378964596031 0.4065599327024016 0.43628102670816443 0.4752659277719293 0.5474079387680305 0.6727725865919814 0.69114492010045 0.7287379748704833 0.7929977081365146 0.8122699108109422 0.8480235877708676 0.866167806452772 0.9999999999999993 0.9999999999999996 0.9999999999999998 1.0 1.0000000000000002 1.0000000000000004 1.0000000000000009 1.000000000000002 1.000000000000002 1.0000000000000038 1.0875771468654543 1.121827866809672 1.159640885098315 1.3381915441125625 1.4414628048421385 1.5439534394396721 1.7036178962599755 1.797906270376911 1.8660115306709808 1.9999999999999993 2.000000000000004 2.1968444794634467 2.381397265235411 2.5237812498774184 2.682622892287248 2.7506506166007485 2.9999999999999947 3.0 3.0000000000000004 3.0000000000000004 3.0000000000000013 3.0901632824180094 3.1703751551486996 3.3558881445465376 3.477477939473115 3.6475385967500107 3.747654575122026 3.877466806973481 3.999999999999995 3.9999999999999956 3.9999999999999987 3.999999999999999 4.000000000000001 4.000000000000001 4.000000000000009 4.000000000000011 4.380990710440036 4.796511379083782 4.938011427733852 4.99999999999999 4.999999999999992 4.999999999999998 4.999999999999999 5.0000000000000036 5.347974333579304 5.703745066111778 5.718841500930641 5.863961492566888 5.891735550785046 6.000000000000016 6.409498530530002 6.515047033536286 6.5203443699862556 6.617309254440173 6.901006727328901 6.970075440147312 7.147648641818148 7.255637761385195 7.468125437376598 7.605981032103036 8.007586294359875 8.244881947699657 8.415953192950454 9.007378837060966 9.179244802376427 9.653756067757296 10.556303179791573 
-3.3647788673840354e-16 -2.220446049250313e-16 -9.618329866751583e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.752471667812878e-16 5.649153206954324e-16 0.015918375529638047 0.03743202554065393 0.0682339770594836 0.1089495418866873 0.15119001729769024 0.2037679949460127 0.23279231919793478 0.36526485900591765 0.37132273354748846 0.4063769572447954 0.41383957379866093 0.43614903256439125 0.49542142942603384 0.5595650170255968 0.643091666941625 0.6790891364227102 0.7021603709460645 0.7269448858395938 0.7280675500416118 0.773590723726828 0.8560164559459505 0.891689610303793 0.9999999999999989 0.9999999999999991 1.0 1.0000000000000002 1.0000000000000002 1.0000000000000004 1.0000000000000018 1.000000000000002 1.000000000000004 1.068755987964093 1.2635232725898868 1.2667170349238928 1.4076739223644106 1.5142831826144445 1.5887195715877316 1.636045293403289 1.6761817971717237 1.7428073154627417 1.7711003665683267 1.9999999999999964 1.9999999999999982 2.0000000000000013 2.000000000000004 2.035032167545377 2.0951575552678516 2.216790898587166 2.48520421509944 2.5137753788509674 2.581099100132008 2.668241461893235 2.7032839925499506 2.999999999999997 3.0000000000000004 3.0000000000000004 3.0000000000000013 3.0000000000000027 3.0000000000000027 3.000000000000003 3.0000000000000053 3.0000000000000138 3.2012800780688977 3.215705359102303 3.4136353401808384 3.72040136641602 3.772914500749128 3.8562711785899064 3.999999999999998 3.9999999999999982 4.000000000000005 4.000000000000011 4.0000000000000115 4.3374018296200205 4.451271942686754 4.683957698250443 4.802114796115903 4.843876110669981 4.952386531685892 5.0 5.000000000000011 5.0000000000000115 5.14532250262359 5.47536425836072 5.584242031715135 5.766573662955848 6.101755636340346 6.221134315910752 6.280711827355304 6.877128321784594 7.34583569258713 7.7141744001582015 7.772536221753058 8.149513831129944 8.366135671070735 8.862418129782965 9.190502036376753 9.378431155422856 11.102704210392993 11.151484205491347 15.16154838783611 
(-1.5799743809071117e-15+0j) (-1.2683395068684363e-15+0j) (-1.072475177102313e-15+0j) (-8.389344131692347e-16+0j) (-3.9358867973401897e-16+0j) (-1.1701126673390327e-16-2.2130974450397337e-16j) (-1.1701126673390327e-16+2.2130974450397337e-16j) (-1.9589054282683317e-17+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (1.785169204102205e-16+0j) (5.127267456588579e-16+0j) (1.1059208152259943e-15+0j) (0.03078997627246998+0j) (0.08985971789175765+0j) (0.09061161855226746+0j) (0.18071719611483453+0j) (0.24895946476511535+0j) (0.2592635729388227+0j) (0.2966138522920841+0j) (0.4161703545471096+0j) (0.42817708706396423+0j) (0.493508812571081+0j) (0.7153189482747685+0j) (0.7801892813923386+0j) (0.8028830945559031+0j) (0.8367662168809734+0j) (0.8394686386463731+0j) (0.8941498439262349+0j) (0.9999999999999993+0j) (1+0j) (1.0000000000000004+0j) (1.0000000000000013+0j) (1.0000000000000013+0j) (1.0000000000000027+0j) (1.0000000000000029+0j) (1.0320676940250235+0j) (1.088734752175427+0j) (1.1410941295579522+0j) (1.1700635900926706+0j) (1.2725165919376002+0j) (1.4526441687306202+0j) (1.7165371405343273+0j) (1.743325422581671+0j) (1.999999999999995+0j) (1.9999999999999973+0j) (1.999999999999999+0j) (2.000000000000001+0j) (2.0000000000000013-5.4279397109871374e-17j) (2.0000000000000013+5.4279397109871374e-17j) (2.0000000000000053+0j) (2.0000000000000053+0j) (2.1290795105415605+0j) (2.3077026900752546+0j) (2.482954371201496+0j) (2.523281947528338+0j) (2.656719430366294+0j) (2.7959760538052327+0j) (2.9999999999999982+0j) (3.0000000000000036+0j) (3.000000000000004+0j) (3.000000000000004+0j) (3.0000000000000044+0j) (3.000000000000009+0j) (3.1097506553125114+0j) (3.2955034175856612+0j) (3.3688720561211705+0j) (3.7539729783662663+0j) (3.99999999999999+0j) (3.999999999999992+0j) (3.999999999999993+0j) (3.999999999999997+0j) (4.000000000000005+0j) (4.340269532802488+0j) (4.54938877520165+0j) (4.562452109226157+0j) (4.64950516154426+0j) (4.692297309924745+0j) (4.824802383879968+0j) (4.858991841815158+0j) (4.929646655775394+0j) (5.0000000000000036+0j) (5.000000000000004+0j) (5.000000000000027+0j) (5.096366364556149+0j) (5.241311932592593+0j) (5.723202041276287+0j) (5.959872006620342+0j) (6.000000000000002+0j) (6.000000000000003+0j) (6.000000000000007+0j) (6.081622552195693+0j) (6.160531361353648+0j) (6.195193843352355+0j) (6.553233015324+0j) (6.593415428534135+0j) (7.109660116315121+0j) (7.475532283079973+0j) (7.851678976716095+0j) (7.999999999999981+0j) (8.000000000000025+0j) (8.375092736488135+0j) (8.745418735647558+0j) (8.799093353249718+0j) (12.187177205303376+0j) 
(-1.0155624951336092e-15-1.0624027268338632e-16j) (-1.0155624951336092e-15+1.0624027268338632e-16j) (-6.227932705453283e-18+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j (3.488936672262122e-17+0j) (5.107981010597779e-16+0j) (0.03475895021335785+0j) (0.060581383392557496+0j) (0.09885608556925189+0j) (0.11887582050718289+0j) (0.2911182233846781+0j) (0.31962915354459676+0j) (0.3274469367887246+0j) (0.3903643576214026+0j) (0.45973625377724425+0j) (0.5376160335145861+0j) (0.5814670830643816+0j) (0.6060371237220546+0j) (0.6170567493272228+0j) (0.6349197868928019+0j) (0.6805644800472533+0j) (0.6820000952244534+0j) (0.7392791223082555+0j) (0.7637309487325887+0j) (0.9233500597186849+0j) (0.999999999999999+0j) (0.9999999999999998+0j) (1+0j) (1.0000000000000002+0j) (1.000000000000001+0j) (1.000000000000001+0j) (1.0000000000000013+0j) (1.000000000000006+0j) (1.047985257775387+0j) (1.1675394581003022+0j) (1.224151483280077+0j) (1.3845185286238209+0j) (1.5176448665941984+0j) (1.587299393567618+0j) (1.7808678208534947+0j) (1.7964847827723964+0j) (1.8745523236091821+0j) (1.9224132950340458+0j) (1.9999999999999853+0j) (1.9999999999999973+0j) (1.9999999999999991+0j) (2.000000000000005+0j) (2.0579675108454802+0j) (2.191634418395264+0j) (2.430355473257705+0j) (2.521923696819524+0j) (2.615405414426624+0j) (2.9999999999999987+0j) (2.9999999999999996+0j) (3.0000000000000018+0j) (3.0000000000000018+0j) (3.0000000000000187+0j) (3.1771238198683323+0j) (3.2662340864149284+0j) (3.27729667063113+0j) (3.5123905142486045+0j) (3.6695314645297423+0j) (3.9999999999999907+0j) (3.9999999999999982+0j) (3.999999999999999+0j) (4.000000000000001+0j) (4.000000000000002+0j) (4.0000000000000036+0j) (4.000000000000005+0j) (4.0900394579338375+0j) (4.1325977583724125+0j) (4.34995813485699+0j) (4.476802833011305+0j) (4.525197971072582+0j) (4.6257699939182775+0j) (4.750944921907869+0j) (4.986177246247906+0j) (4.999999999999994+0j) (4.999999999999999+0j) (5.00000000000001+0j) (5.090542904844873+0j) (5.199633842927826+0j) (5.245351402681949+0j) (5.48924639575101+0j) (5.801974259476194+0j) (5.999999999999992+0j) (6.4491822004041115+0j) (6.535362660317407+0j) (6.897098294490724+0j) (6.999999999999988+0j) (7.000000000000011+0j) (7.334424456404284+0j) (7.484259670905563+0j) (7.5372953856274965+0j) (7.751331581676351+0j) (8.108055304581974+0j) (8.197023244231268+0j) (8.586601556179241+0j) (8.72075406247731+0j) (8.893460231337684+0j) (9.343109581155181+0j) (9.368951461288614+0j) (9.77345527629097+0j) (13.197010102447663+0j) (16.167678880182326+0j) 
